Sistemas;NDG CORTADO MAGNUM (30CAPS); 171.696,22 € ;ALTA;cortadomagnumndg
Tostado;LAVAZZA MOLIDO CREMA E GUSTO 250G; 151.735,56 € ;BAJA;lavazzamolidocremaegusto250g
Sistemas;NDG GRANDE INTENSO (16CAPS); 146.412,53 € ;ALTA;grandeintensondg
Sistemas;STARBUCKS BY NESPRESSO VERONA; 144.111,44 € ;ALTA;sbuxnespressoverona
Sistemas;STARBUCKS BY NESPRESSO HOUSE BLEND; 126.428,33 € ;ALTA;sbuxnespressohouseblend
Tostado;LAVAZZA GRANO ESPRESSO 500G; 125.966,88 € ;BAJA;lavazzagranocaffèespresso500g
Tostado;LAVAZZA MOLIDO EXPRESS NATURAL 250G; 125.237,49 € ;BAJA;lavazzamolidocaffèespresso250gmolido2
Soluble;MARCILLA CREME EXPRESS DESCAFEINADO 200G; 114.174,55 € ;BAJA;marcillasenseoextrafuerte28uds
Tostado;BONKA MOLIDO DESCAFEINADO 250G; 100.140,09 € ;ALTA;bonkamolidodescafeinado250g
Sistemas;CAFÉ ROYAL COMP.NDG ESPRESSO FORTE; 94.310,22 € ;BAJA;caferoyalespressoforte16capsulesndg
Soluble;NESCAFÉ GOLD PURO COLOMBIA 100G; 90.873,94 € ;ALTA;nescafegoldoriginspurocolombia
Soluble;NESCAFÉ VITALISSIMO DESCAFEINADO 200G; 90.576,16 € ;ALTA;vitalissimodecaf
Sistemas;MARCILLA COMP.BLANDAS EXTRA FUERTE; 87.035,22 € ;BAJA;marcillasenseoextrafuerte28uds
Sistemas;LAVAZZA A MODO MIO ESPRESSO INTENSO; 81.423,64 € ;BAJA;lavazzaespressointenso16capsulas
Sistemas;LAVAZZA A MODO MIO DEK CREMOSO; 69.230,62 € ;BAJA;lavazzaespressodesdekcremoso16capsulas
Sistemas;TASSIMO L'OR ESPRESSO DECAFFEINATO; 60.631,54 € ;BAJA;tassimolorespressodecaffeinato16capsulas
Tostado;BONKA MOLIDO ECOLÓGICO 250G; 49.408,91 € ;ALTA;bonkaecologico220g
Sistemas;CAFÉ ROYAL COMP.NDG DECAFFEINATO; 48.385,86 € ;BAJA;caferoyaldecaffeinato16capsulesndg
Sistemas;CAFÉ ROYAL COMP.NESPRESSO RISTRETTO INTENSO; 40.542,45 € ;BAJA;caferoyalristrettointensonespresso
Sistemas;CAFÉ ROYAL COMP.NDG CAFÉ CON LECHE; 38.413,72 € ;BAJA;caferoyalcafeaulait16capsulesndg
